,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1920,1080,-1,
1,2,1,1,0,0,0,311,6,1548,28,-1,
2,3,1,1,1,0,0,311,6,1548,28,-1,
3,4,1,1,1,1,0,1819,6,26,9,-1,
4,5,1,1,1,1,1,1819,6,26,9,72,1615
5,4,1,1,1,2,0,311,11,1548,23,-1,
6,5,1,1,1,2,1,311,16,6,8,29,es
7,5,1,1,1,2,2,363,11,18,14,84,~
8,5,1,1,1,2,3,414,16,16,16,50,ie
9,5,1,1,1,2,4,1671,17,12,6,33,y
10,5,1,1,1,2,5,1693,13,40,14,47,9198
11,5,1,1,1,2,6,1768,15,21,9,36,ene
12,5,1,1,1,2,7,1803,24,56,10,0,saya
13,2,1,2,0,0,0,1875,8,29,27,-1,
14,3,1,2,1,0,0,1875,8,29,27,-1,
15,4,1,2,1,1,0,1875,8,29,27,-1,
16,5,1,2,1,1,1,1875,8,29,27,95, 
17,2,1,3,0,0,0,12,5,1561,87,-1,
18,3,1,3,1,0,0,12,5,1561,87,-1,
19,4,1,3,1,1,0,12,5,1561,87,-1,
20,5,1,3,1,1,1,12,5,268,87,95, 
21,5,1,3,1,1,2,395,65,45,20,95, 
22,5,1,3,1,1,3,876,65,76,17,95, 
23,5,1,3,1,1,4,1071,68,50,14,95, 
24,5,1,3,1,1,5,1540,68,33,14,95, 
25,2,1,4,0,0,0,1530,97,341,20,-1,
26,3,1,4,1,0,0,1530,97,341,20,-1,
27,4,1,4,1,1,0,1530,97,341,20,-1,
28,5,1,4,1,1,1,1530,101,46,16,24,a
29,2,1,5,0,0,0,21,64,1863,212,-1,
30,3,1,5,1,0,0,21,64,1863,212,-1,
31,4,1,5,1,1,0,21,64,1441,62,-1,
32,5,1,5,1,1,1,21,97,862,29,95,   
33,5,1,5,1,1,2,1196,64,266,57,95, 
34,4,1,5,1,2,0,21,126,1863,44,-1,
35,5,1,5,1,2,1,21,126,1863,44,95,  
36,4,1,5,1,3,0,611,199,52,77,-1,
37,5,1,5,1,3,1,611,199,52,77,95,  
38,2,1,6,0,0,0,1827,195,13,23,-1,
39,3,1,6,1,0,0,1827,195,13,23,-1,
40,4,1,6,1,1,0,1827,195,13,23,-1,
41,5,1,6,1,1,1,1827,195,13,23,95, 
42,2,1,7,0,0,0,1892,231,17,10,-1,
43,3,1,7,1,0,0,1892,231,17,10,-1,
44,4,1,7,1,1,0,1892,231,17,10,-1,
45,5,1,7,1,1,1,1892,231,17,10,95, 
46,2,1,8,0,0,0,1561,261,151,12,-1,
47,3,1,8,1,0,0,1561,261,151,12,-1,
48,4,1,8,1,1,0,1561,261,151,12,-1,
49,5,1,8,1,1,1,1561,264,25,8,95,  
50,5,1,8,1,1,2,1686,261,26,12,95, 
51,2,1,9,0,0,0,1497,283,417,185,-1,
52,3,1,9,1,0,0,1497,283,417,185,-1,
53,4,1,9,1,1,0,1497,283,417,185,-1,
54,5,1,9,1,1,1,1497,283,417,185,95,   
55,2,1,10,0,0,0,197,149,1706,153,-1,
56,3,1,10,1,0,0,197,149,1706,153,-1,
57,4,1,10,1,1,0,512,149,842,46,-1,
58,5,1,10,1,1,1,512,149,8,46,93,|
59,5,1,10,1,1,2,882,175,10,10,68,pe]
60,5,1,10,1,1,3,907,176,18,11,92,file
61,5,1,10,1,1,4,938,176,20,11,96,edit
62,5,1,10,1,1,5,971,176,24,11,96,view
63,5,1,10,1,1,6,1008,176,47,12,92,navigate
64,5,1,10,1,1,7,1067,176,28,11,96,code
65,5,1,10,1,1,8,1108,176,44,11,95,refactor
66,5,1,10,1,1,9,1166,176,19,11,95,run
67,5,1,10,1,1,10,1198,176,28,11,92,tools
68,5,1,10,1,1,11,1240,176,20,11,92,vcs
69,5,1,10,1,1,12,1272,176,43,11,95,window
70,5,1,10,1,1,13,1329,176,25,12,96,help
71,4,1,10,1,2,0,197,199,1706,25,-1,
72,5,1,10,1,2,1,197,199,22,12,63,=
73,5,1,10,1,2,2,345,199,22,14,89,=
74,5,1,10,1,2,3,705,199,56,25,52,wae
75,5,1,10,1,2,4,885,205,93,12,25,sere
76,5,1,10,1,2,5,1000,208,53,9,34,(ay
77,5,1,10,1,2,6,1647,206,58,10,0,=s5s)
78,5,1,10,1,2,7,1778,202,125,14,20,guggroig
79,4,1,10,1,3,0,739,223,490,11,-1,
80,5,1,10,1,3,1,739,223,20,10,28,ee
81,5,1,10,1,3,2,1223,231,6,3,96,=
82,4,1,10,1,4,0,587,249,1316,18,-1,
83,5,1,10,1,4,1,587,249,87,18,68,br.
84,5,1,10,1,4,2,882,251,16,12,52,ey
85,5,1,10,1,4,3,976,258,2,2,41,=
86,5,1,10,1,4,4,1529,251,6,1,21,-
87,5,1,10,1,4,5,1729,262,3,1,0,.
88,5,1,10,1,4,6,1895,252,8,6,53,9
89,4,1,10,1,5,0,357,274,1546,28,-1,
90,5,1,10,1,5,1,357,275,70,16,66,java
91,5,1,10,1,5,2,437,275,153,27,85,edition
92,5,1,10,1,5,3,562,271,31,35,0,03
93,5,1,10,1,5,4,878,274,38,21,27,my
94,5,1,10,1,5,5,944,281,37,9,0,blimages
95,5,1,10,1,5,6,1895,276,8,22,42,i
96,2,1,11,0,0,0,496,297,579,33,-1,
97,3,1,11,1,0,0,496,297,579,33,-1,
98,4,1,11,1,1,0,496,297,58,20,-1,
99,5,1,11,1,1,1,496,297,58,20,9,beer
100,4,1,11,1,2,0,498,299,577,31,-1,
101,5,1,11,1,2,1,498,299,23,23,56,aoe
102,5,1,11,1,2,2,962,318,89,12,36,ees
103,5,1,11,1,2,3,1056,321,19,9,27,oe
104,2,1,12,0,0,0,962,338,115,12,-1,
105,3,1,12,1,0,0,962,338,115,12,-1,
106,4,1,12,1,1,0,962,338,115,12,-1,
107,5,1,12,1,1,1,962,338,62,12,70,background
108,5,1,12,1,1,2,1030,341,47,9,70,view.png
109,2,1,13,0,0,0,393,318,25,39,-1,
110,3,1,13,1,0,0,393,318,25,39,-1,
111,4,1,13,1,1,0,393,318,25,39,-1,
112,5,1,13,1,1,1,393,318,25,39,95, 
113,2,1,14,0,0,0,962,361,45,9,-1,
114,3,1,14,1,0,0,962,361,45,9,-1,
115,4,1,14,1,1,0,962,361,45,9,-1,
116,5,1,14,1,1,1,962,361,45,9,82,icon.png
117,2,1,15,0,0,0,267,363,366,20,-1,
118,3,1,15,1,0,0,267,363,366,20,-1,
119,4,1,15,1,1,0,267,363,366,20,-1,
120,5,1,15,1,1,1,267,363,16,20,83,€
121,5,1,15,1,1,2,407,369,88,12,91,singleplayer
122,5,1,15,1,1,3,617,363,16,20,64,a
123,2,1,16,0,0,0,0,480,1114,600,-1,
124,3,1,16,1,0,0,0,480,1114,600,-1,
125,4,1,16,1,1,0,202,480,912,138,-1,
126,5,1,16,1,1,1,202,480,912,138,95,     
127,4,1,16,1,2,0,0,996,924,84,-1,
128,5,1,16,1,2,1,0,996,924,84,95,  
129,2,1,17,0,0,0,123,411,366,20,-1,
130,3,1,17,1,0,0,123,411,366,20,-1,
131,4,1,17,1,1,0,123,411,366,20,-1,
132,5,1,17,1,1,1,123,415,18,8,42,-
133,5,1,17,1,1,2,267,411,16,20,82,€
134,5,1,17,1,1,3,411,417,78,12,89,multiplayer
135,2,1,18,0,0,0,1647,443,234,43,-1,
136,3,1,18,1,0,0,1647,443,234,43,-1,
137,4,1,18,1,1,0,1647,443,234,25,-1,
138,5,1,18,1,1,1,1647,443,234,25,95,  
139,4,1,18,1,2,0,1702,468,179,18,-1,
140,5,1,18,1,2,1,1702,468,179,18,95, 
141,2,1,19,0,0,0,1587,449,60,13,-1,
142,3,1,19,1,0,0,1587,449,60,13,-1,
143,4,1,19,1,1,0,1587,449,60,13,-1,
144,5,1,19,1,1,1,1587,449,60,13,21,nnands[~
145,2,1,20,0,0,0,1643,470,35,13,-1,
146,3,1,20,1,0,0,1643,470,35,13,-1,
